dim,gamma,emd
2,0.001,5.76329231262207
2,0.01,5.792227268218994
2,0.1,5.740101337432861
2,1.0,5.928040504455566
8,0.001,2.5225751399993896
8,0.01,2.500990629196167
8,0.1,2.6318657398223877
8,1.0,2.760638475418091
10,0.001,3.8072378635406494
10,0.01,3.856740713119507
10,0.1,3.9507296085357666
10,1.0,4.153599739074707
16,0.001,1.9904556274414062
16,0.01,1.9895422458648682
16,0.1,2.103787422180176
16,1.0,2.2152388095855713
32,0.001,1.311617136001587
32,0.01,1.3292186260223389
32,0.1,1.4294947385787964
32,1.0,1.48155677318573
