dim,gamma,sinkhorn_iterations,sinkhorn_time,source_label,target_label
2,0.0001,999,5.7359696249477565,0,1
2,0.0001,999,3.578775375033729,0,2
2,0.0001,999,3.820205833995715,0,3
2,0.0001,999,3.474283833988011,0,4
2,0.0001,999,3.892150582978502,0,5
2,0.0001,999,4.195176042034291,0,6
2,0.0001,999,3.4025855830404907,0,7
2,0.0001,999,4.472527292091399,0,8
2,0.0001,999,3.342838541022502,0,9
2,0.0001,999,4.449392042006366,1,2
2,0.0001,999,4.386045249993913,1,3
2,0.0001,999,4.610435790964402,1,4
2,0.0001,999,3.993549833074212,1,5
2,0.0001,999,4.219626458012499,1,6
2,0.0001,999,4.673631249926984,1,7
2,0.0001,999,3.209691582946107,1,8
2,0.0001,999,4.170387084013782,1,9
2,0.0001,999,3.257979374960996,2,3
2,0.0001,999,3.597132332972251,2,4
2,0.0001,999,3.0178431670647115,2,5
2,0.0001,999,3.614417374948971,2,6
2,0.0001,999,3.913855000049807,2,7
2,0.0001,999,3.5743107500020415,2,8
2,0.0001,999,3.5629670000635087,2,9
2,0.0001,999,3.6094278750242665,3,4
2,0.0001,999,3.1636807089671493,3,5
2,0.0001,999,3.4087273749755695,3,6
2,0.0001,999,4.244591833092272,3,7
2,0.0001,999,3.8373151250416413,3,8
2,0.0001,999,3.8549809580435976,3,9
2,0.0001,999,3.361790709081106,4,5
2,0.0001,999,3.5545933750690892,4,6
2,0.0001,999,3.5572155420668423,4,7
2,0.0001,999,3.812442582915537,4,8
2,0.0001,999,3.7497144169174135,4,9
2,0.0001,999,3.0425525410100818,5,6
2,0.0001,999,3.179134999983944,5,7
2,0.0001,999,3.235360874910839,5,8
2,0.0001,999,3.1130776669597253,5,9
2,0.0001,999,3.8930751669686288,6,7
2,0.0001,999,3.5527995410375297,6,8
2,0.0001,999,3.6052314169937745,6,9
2,0.0001,999,3.538177957991138,7,8
2,0.0001,999,3.524390499922447,7,9
2,0.0001,999,3.252010583993979,8,9
2,0.001,999,3.465180709026754,0,1
2,0.001,999,3.653119166032411,0,2
2,0.001,999,3.4180920419748873,0,3
2,0.001,999,3.770445500034839,0,4
2,0.001,999,2.897913624998182,0,5
2,0.001,999,3.2513625419232994,0,6
2,0.001,999,3.2152051250450313,0,7
2,0.001,999,3.4181316249305382,0,8
2,0.001,999,3.564402166986838,0,9
2,0.001,999,3.7223133330699056,1,2
2,0.001,999,3.5730267909821123,1,3
2,0.001,999,3.743937708088197,1,4
2,0.001,999,3.094409750076011,1,5
2,0.001,999,3.6176667500985786,1,6
2,0.001,999,3.9179912090767175,1,7
2,0.001,999,3.5765895830700174,1,8
2,0.001,999,3.662727541057393,1,9
2,0.001,999,3.5439980410737917,2,3
2,0.001,999,4.362496250076219,2,4
2,0.001,999,3.1043306250358,2,5
2,0.001,999,3.8055187090067193,2,6
2,0.001,999,3.8759365410078317,2,7
2,0.001,999,3.690365832997486,2,8
2,0.001,999,3.592157292063348,2,9
2,0.001,999,3.6023365830769762,3,4
2,0.001,999,3.3141985409893095,3,5
2,0.001,999,3.5848041659919545,3,6
2,0.001,999,3.6174684159923345,3,7
2,0.001,999,3.8669629170326516,3,8
2,0.001,999,3.7512580420589074,3,9
2,0.001,999,3.053390666958876,4,5
2,0.001,999,3.312893124995753,4,6
2,0.001,999,3.4833897500066087,4,7
2,0.001,999,3.640278583043255,4,8
2,0.001,999,3.951464083045721,4,9
2,0.001,999,3.168026166036725,5,6
2,0.001,999,2.955130083952099,5,7
2,0.001,999,2.837979667005129,5,8
2,0.001,999,2.929478832986206,5,9
2,0.001,999,3.4490596660180017,6,7
2,0.001,999,3.3800498340278864,6,8
2,0.001,999,3.347163791069761,6,9
2,0.001,999,3.4350986670469865,7,8
2,0.001,999,3.516086999909021,7,9
2,0.001,999,3.3447088340763003,8,9
2,0.01,999,3.263355082948692,0,1
2,0.01,641,2.435426124953665,0,2
2,0.01,999,3.1189569169655442,0,3
2,0.01,999,3.0993289169855416,0,4
2,0.01,999,2.74537150003016,0,5
2,0.01,999,3.170663584023714,0,6
2,0.01,999,3.1621049579698592,0,7
2,0.01,999,3.6661771250655875,0,8
2,0.01,999,3.5338489999994636,0,9
2,0.01,486,2.3876483329804614,1,2
2,0.01,528,2.599701291997917,1,3
2,0.01,999,4.2495415000012144,1,4
2,0.01,637,2.471362042007968,1,5
2,0.01,197,1.753510458045639,1,6
2,0.01,969,4.168962416937575,1,7
2,0.01,999,4.192602750030346,1,8
2,0.01,411,2.475790624972433,1,9
2,0.01,999,4.175997874932364,2,3
2,0.01,999,3.7800747079309076,2,4
2,0.01,999,4.131162708974443,2,5
2,0.01,999,4.2212834999663755,2,6
2,0.01,667,2.9789217499783263,2,7
2,0.01,999,3.4532237090170383,2,8
2,0.01,999,3.302495999960229,2,9
2,0.01,999,3.336474374984391,3,4
2,0.01,999,3.7596917080227286,3,5
2,0.01,999,3.624223667080514,3,6
2,0.01,999,4.061987249995582,3,7
2,0.01,999,3.9825709169963375,3,8
2,0.01,999,3.3940477500436828,3,9
2,0.01,999,2.806058584013954,4,5
2,0.01,999,3.314916417002678,4,6
2,0.01,999,3.5975950839929283,4,7
2,0.01,999,3.5136583748972043,4,8
2,0.01,999,3.4616402910323814,4,9
2,0.01,999,3.044910292024724,5,6
2,0.01,999,3.5819110419834033,5,7
2,0.01,999,2.8895487079862505,5,8
2,0.01,999,2.821521250065416,5,9
2,0.01,999,3.4665682499762625,6,7
2,0.01,999,3.300338583998382,6,8
2,0.01,999,3.3408143339911476,6,9
2,0.01,999,3.3731440419796854,7,8
2,0.01,999,3.272469750023447,7,9
2,0.01,999,3.557369166985154,8,9
2,0.1,65,1.5147135829320177,0,1
2,0.1,79,1.2102495830040425,0,2
2,0.1,999,3.167410667054355,0,3
2,0.1,152,1.420184375019744,0,4
2,0.1,342,1.6608489999780431,0,5
2,0.1,219,1.4858882499393076,0,6
2,0.1,233,1.6699687920045108,0,7
2,0.1,347,1.9220307079376653,0,8
2,0.1,999,4.503041540971026,0,9
2,0.1,64,1.288112209062092,1,2
2,0.1,56,1.1760008750716224,1,3
2,0.1,18,1.0575169579824433,1,4
2,0.1,57,1.0532496250234544,1,5
2,0.1,22,1.0697872079908848,1,6
2,0.1,59,1.5391981250140816,1,7
2,0.1,66,1.466952917049639,1,8
2,0.1,36,1.1778047089464962,1,9
2,0.1,78,1.2401883749989793,2,3
2,0.1,999,3.4890937079908326,2,4
2,0.1,86,1.3163710410008207,2,5
2,0.1,136,1.371714708977379,2,6
2,0.1,52,1.2495468340348452,2,7
2,0.1,191,1.457732958951965,2,8
2,0.1,59,1.1904212919762358,2,9
2,0.1,999,3.432271374971606,3,4
2,0.1,224,1.9759535830235109,3,5
2,0.1,69,1.3444316249806434,3,6
2,0.1,106,1.5186329160351306,3,7
2,0.1,999,3.596678916946985,3,8
2,0.1,204,1.7978642079979181,3,9
2,0.1,999,2.7984369999030605,4,5
2,0.1,411,2.2154985829256475,4,6
2,0.1,243,1.8138610419118777,4,7
2,0.1,53,1.1772526249988005,4,8
2,0.1,352,1.781609374913387,4,9
2,0.1,97,1.1339426659978926,5,6
2,0.1,122,1.2011294580297545,5,7
2,0.1,999,2.6920389579609036,5,8
2,0.1,999,2.7995530830230564,5,9
2,0.1,182,1.429616125067696,6,7
2,0.1,97,1.2039612910011783,6,8
2,0.1,73,1.1514855830464512,6,9
2,0.1,223,1.561784042045474,7,8
2,0.1,223,1.5734190829098225,7,9
2,0.1,77,1.194697792059742,8,9
2,1.0,4,1.15050024993252,0,1
2,1.0,9,1.0710565000772476,0,2
2,1.0,16,1.0527530419640243,0,3
2,1.0,12,1.03590975003317,0,4
2,1.0,15,1.0027028750628233,0,5
2,1.0,21,1.096797875012271,0,6
2,1.0,15,1.060702082933858,0,7
2,1.0,17,1.1215450409799814,0,8
2,1.0,12,1.0632565839914605,0,9
2,1.0,8,1.0946718329796568,1,2
2,1.0,6,1.08689133299049,1,3
2,1.0,3,1.0552001250907779,1,4
2,1.0,6,0.9601481669815257,1,5
2,1.0,4,1.0236540839541703,1,6
2,1.0,6,1.090450834017247,1,7
2,1.0,5,1.0230045000789687,1,8
2,1.0,3,1.0801047920249403,1,9
2,1.0,8,1.0626918750349432,2,3
2,1.0,10,1.0519565410213545,2,4
2,1.0,8,1.0088410000316799,2,5
2,1.0,13,1.1165782919852063,2,6
2,1.0,7,1.087494874955155,2,7
2,1.0,7,1.3639147909125313,2,8
2,1.0,7,1.2001105409581214,2,9
2,1.0,8,1.1522904579760507,3,4
2,1.0,19,1.1534236250445247,3,5
2,1.0,7,1.0550153329968452,3,6
2,1.0,14,1.1497622499009594,3,7
2,1.0,14,1.1805230419849977,3,8
2,1.0,6,1.4323176250327379,3,9
2,1.0,7,1.1759532919386402,4,5
2,1.0,30,1.4335372080095112,4,6
2,1.0,21,1.2881494580069557,4,7
2,1.0,5,1.3135706250322983,4,8
2,1.0,27,1.2592279999516904,4,9
2,1.0,11,1.1920855410862714,5,6
